iter	Passed	Remaining
744	1141	390
745	1143	389
746	1144	387
747	1145	385
748	1146	384
749	1147	382
750	1148	380
751	1149	379
752	1151	377
753	1152	375
754	1153	374
755	1154	372
756	1156	371
757	1157	369
758	1158	367
759	1159	366
760	1160	364
761	1161	362
762	1163	361
763	1164	359
764	1165	358
765	1166	356
766	1167	354
767	1169	353
768	1170	351
769	1172	350
770	1173	348
771	1174	346
772	1175	345
773	1176	343
774	1177	341
775	1178	340
776	1180	338
777	1181	337
778	1182	335
779	1184	334
780	1186	332
781	1187	330
782	1188	329
783	1189	327
784	1191	326
785	1192	324
786	1193	322
787	1194	321
788	1195	319
789	1197	318
790	1198	316
791	1200	315
792	1201	313
793	1202	312
794	1203	310
795	1205	308
796	1206	307
797	1207	305
798	1208	304
799	1209	302
800	1210	300
801	1212	299
802	1213	297
803	1215	296
804	1216	294
805	1217	293
806	1219	291
807	1220	289
808	1221	288
809	1222	286
810	1223	285
811	1225	283
812	1226	282
813	1227	280
814	1229	279
815	1230	277
816	1231	275
817	1233	274
818	1234	272
819	1235	271
820	1237	269
821	1239	268
822	1240	266
823	1241	265
824	1243	263
825	1244	262
826	1245	260
827	1247	259
828	1248	257
829	1249	255
830	1250	254
831	1251	252
832	1252	251
833	1254	249
834	1255	248
835	1256	246
836	1258	245
837	1260	243
838	1261	242
839	1262	240
840	1263	238
841	1265	237
842	1266	235
843	1267	234
844	1268	232
845	1269	231
846	1270	229
847	1272	228
848	1273	226
849	1275	225
850	1276	223
851	1277	221
852	1278	220
853	1279	218
854	1281	217
855	1282	215
856	1283	214
857	1284	212
858	1285	211
859	1287	209
860	1289	208
861	1290	206
862	1291	205
863	1293	203
864	1294	201
865	1295	200
866	1296	198
867	1298	197
868	1299	195
869	1300	194
870	1301	192
871	1302	191
872	1304	189
873	1305	188
874	1306	186
875	1307	185
876	1308	183
877	1310	182
878	1311	180
879	1312	178
880	1313	177
881	1314	175
882	1315	174
883	1317	172
884	1318	171
885	1319	169
886	1320	168
887	1321	166
888	1322	165
889	1323	163
890	1324	162
891	1325	160
892	1326	158
893	1327	157
894	1329	155
895	1329	154
896	1331	152
897	1332	151
898	1333	149
899	1334	148
900	1335	146
901	1336	145
902	1338	143
903	1339	142
904	1340	140
905	1341	139
906	1342	137
907	1343	136
908	1344	134
909	1345	133
910	1347	131
911	1348	130
912	1349	128
913	1350	127
914	1352	125
915	1353	124
916	1354	122
917	1355	121
918	1356	119
919	1357	118
920	1358	116
921	1360	115
922	1362	113
923	1363	112
924	1364	110
925	1365	109
926	1366	107
927	1367	106
928	1368	104
929	1369	103
930	1370	101
931	1371	100
932	1372	98
933	1374	97
934	1375	95
935	1377	94
936	1378	92
937	1379	91
938	1380	89
939	1381	88
940	1382	86
941	1383	85
942	1384	83
943	1385	82
944	1386	80
945	1387	79
946	1388	77
947	1389	76
948	1391	74
949	1392	73
950	1394	71
951	1394	70
952	1396	68
953	1397	67
954	1398	65
955	1399	64
956	1400	62
957	1401	61
958	1403	59
959	1404	58
960	1406	57
961	1408	55
962	1409	54
963	1410	52
964	1411	51
965	1412	49
966	1413	48
967	1415	46
968	1416	45
969	1417	43
970	1418	42
971	1419	40
972	1420	39
973	1423	37
974	1424	36
975	1425	35
976	1426	33
977	1428	32
978	1429	30
979	1430	29
980	1431	27
981	1432	26
982	1433	24
983	1434	23
984	1436	21
985	1438	20
986	1440	18
987	1441	17
988	1442	16
989	1443	14
990	1444	13
991	1445	11
992	1447	10
993	1448	8
994	1451	7
995	1453	5
996	1454	4
997	1456	2
998	1457	1
999	1458	0
